iter	Passed	Remaining
0	605	605146
1	1136	567350
2	1656	550578
3	2103	523718
4	2700	537381
5	3195	529443
6	3806	540046
7	4212	522368
8	4598	506389
9	5033	498364
10	5427	487953
11	5847	481415
12	6237	473564
13	6631	467057
14	7031	461767
15	7449	458156
16	7771	449374
17	8162	445313
18	8629	445567
19	9050	443456
20	9453	440704
21	9850	437897
22	10268	436209
23	10661	433574
24	11052	431045
25	11444	428739
26	11837	426571
27	12239	424896
28	12627	422788
29	13076	422795
30	13489	421646
31	13880	419876
32	14294	418863
33	14427	409924
34	14824	408738
35	15281	409199
36	15677	408031
37	16123	408185
38	16694	411367
39	17146	411507
40	17641	412650
41	17984	410226
42	18173	404462
43	18548	403007
44	18871	400489
45	19350	401305
46	19790	401274
47	20225	401130
48	20496	397794
49	20970	398445
50	21366	397584
51	21897	399206
52	22290	398288
53	22586	395677
54	23115	397160
55	23528	396616
56	23746	392864
57	24225	393452
58	24621	392693
59	25048	392428
60	25410	391157
61	25838	390914
62	26160	389090
63	26565	388517
64	26641	383233
65	27015	382310
66	27412	381724
67	27811	381185
68	28200	380508
69	28586	379794
70	28962	378956
71	29357	378383
72	29748	377760
73	30139	377151
74	30567	377001
75	30946	376245
76	31271	374848
77	31672	374381
78	32099	374221
79	32487	373609
80	32856	372774
81	33250	372239
82	33323	368163
83	33752	368064
84	34154	367658
85	34629	368037
86	35014	367448
87	35445	367347
88	35866	367132
89	36365	367697
90	36779	367387
91	37163	366790
92	37236	363160
93	37664	363020
94	38073	362703
95	38474	362304
96	38677	360063
97	39349	362174
98	39762	361883
99	40168	361519
100	40557	361000
101	40958	360596
102	41207	358868
103	41648	358815
104	42096	358819
105	42582	359136
106	42997	358845
107	43459	358939
108	43850	358447
109	44263	358132
110	44338	355110
111	44725	354605
112	45116	354148
113	45559	354087
114	45981	353855
115	46349	353215
116	46427	350391
117	46829	350028
118	47295	350144
119	47689	349726
120	47769	347023
121	48156	346570
122	48552	346182
123	48859	345169
124	49271	344903
125	49658	344457
126	50044	344006
127	50438	343613
128	50577	341493
129	50961	341051
130	51378	340821
131	51765	340396
132	51899	338323
133	52034	336281
134	52432	335957
135	52831	335635
136	53226	335286
137	53577	334662
138	53973	334326
139	54226	333105
140	54621	332765
141	55023	332467
142	55214	330902
143	55597	330497
144	55966	330010
145	56336	329529
146	56717	329115
147	57187	329217
148	57572	328820
149	57959	328434
150	58378	328236
151	58841	328270
152	59211	327790
153	59594	327381
154	60030	327261
155	60400	326780
156	60761	326252
157	61142	325836
158	61521	325403
159	61950	325237
160	62333	324831
161	62739	324542
162	63120	324123
163	63524	323818
164	63920	323474
165	64299	323047
166	64654	322496
167	65030	322056
168	65407	321619
169	65803	321277
170	66214	321005
171	66604	320631
172	66996	320266
173	67382	319875
174	67765	319467
175	68163	319130
176	68557	318771
177	68945	318390
178	69435	318470
179	69862	318262
180	70245	317848
181	70648	317531
182	71033	317125
183	71549	317307
184	71963	317026
185	72359	316670
186	72761	316335
187	73143	315918
188	73544	315579
189	73943	315234
190	74334	314849
191	74742	314539
192	75057	313842
193	75450	313469
194	75845	313104
195	76228	312690
196	76614	312290
197	77000	311891
198	77391	311509
199	77789	311156
200	78171	310739
201	78570	310390
202	78944	309945
203	79365	309682
204	79764	309330
205	80159	308962
206	80483	308323
207	80866	307914
208	81258	307539
209	81649	307158
210	82032	306746
211	82433	306402
212	82819	306004
213	83214	305636
214	83613	305285
215	83991	304857
216	84380	304470
217	84559	303327
218	84870	302665
219	85273	302334
220	85658	301934
221	86070	301635
222	86524	301476
223	86973	301300
224	87427	301139
225	87827	300788
226	88232	300458
227	88666	300222
228	89131	300089
229	89560	299834
230	89928	299370
231	90331	299029
232	90728	298664
233	91128	298310
234	91494	297842
235	91868	297404
